volume,page,chapter_no,chapter_name,section_no,section_name,tone,letter,description
1,1a,1,東,1,東,1,東,徳紅切春方也說文動也從日在木中漢志少陽者東方東動也陽氣動於時為春又陽韻俗作東
1,,1,東,1,東,1,涷,暴雨離騷雲使涷雨兮灑塵郭璞曰江東呼夏月暴雨為涷又水名出發鳩山入河一曰瀧涷沾漬又送韻
1,,1,東,1,東,1,蝀,螮蝀虹也又董送二韻
1,,1,東,1,東,1,冬,四時之末漢志冬終也物終藏乃可稱
1,,1,東,1,東,1,𩂓,雨貌
1,,1,東,2,通,1,通,佗紅切達也徹也
1,1b,1,東,2,通,1,侗,大貌一曰未成器之人又見下又董韻
1,,1,東,2,通,1,恫,痛也說文作俑又送韻
1,,1,東,2,通,1,俑,同上又偶人又董韻
1,,1,東,2,通,1,桐,漢安世房中歌桐生荗豫顔師古曰桐讀為通言草木皆通達而生與通義同又見下
1,,1,東,2,通,1,蓪,藥草有小孔通氣
1,,1,東,3,同,1,同,徒紅切齊也共也合也通也道書作仝唐有盧仝
1,,1,東,3,同,1,仝,从人从工與仝不同仝音全从入
1,,1,東,3,同,1,童,奴也又目瞳子漢書舜蓋重童子又十五以下謂之童子童獨也言未有室家也又漢書注山無草木曰童爾雅宛童說文蔦也詩注蔦即宛童寄生草也又音鐘夫童地名見公羊春秋
1,,1,東,3,同,1,僮,未冠者通作童又頑也痴也僮僕也衛靑傳注僮者婢妾之摠稱又竦恭貌詩被之僮僮凡字異義同者不可雙押如桐生之桐與通達之通未冠之僮與童兒之童之類是也若字雖相通而別有異義各自據義分押不為重疊如偶人之俑與恫瘝之恫宛童之童與僮僕之僮竦恭之僮之類是也余准此
1,,1,東,3,同,1,侗,倥侗亦作桐揚子桐子之命
1,,1,東,3,同,1,曈,日出又曈曨日欲明貌又董韻
1,,1,東,3,同,1,朣,月出又朣朧月欲明貌
1,2a,1,東,3,同,1,瞳,目瞳子史記舜目重瞳亦作童又音充未有知貌見莊子
1,,1,東,3,同,1,銅,說文赤金
1,,1,東,3,同,1,峒,崆峒山名亦作空同司馬彪注莊子雲當北斗下山也漢武逾隴登空同列子作空桐爾雅北戴鬥極為空桐一曰在梁國虞城東三十里又送韻
1,,1,東,3,同,1,桐,木名又童子未成器之人又空桐山名又見上
1,,1,東,3,同,1,橦,木名又見下及陽韻
1,,1,東,3,同,1,絧,布名又董送二韻篆文从[]今作糸俗作糹
1,,1,東,3,同,1,罿,鳥網爾雅繴謂之罿罿[]也[]謂之罦罦覆車也又見下
1,,1,東,3,同,1,𦨴,舟名監本作卉名誤
1,,1,東,3,同,1,筒,竹名又送韻
1,,1,東,3,同,1,筩,斷竹又董韻
1,,1,東,3,同,1,穜,禾先種後熟本作種陸徳明曰說文禾邊作重是重穋禾邊作童是穜蓺字今人亂之已久豳風作重穆又本韻董送韻
1,,1,東,3,同,1,種,同上又見下及董送二韻
1,,1,東,3,同,1,重,同上又見下及董送二韻
1,,1,東,3,同,1,潼,水名出廣漢梓潼北界南入墊江又闗名又音衝
1,,1,東,3,同,1,同,通街又送韻
1,,1,東,3,同,1,鮦,魚名一曰鱧也大曰鰹小曰鮵又董有二韻
1,,1,東,3,同,1,犝,牛無角亦作童易童牛之牿
1,,1,東,3,同,1,𦏆,羊無角亦作童詩俾出童羖
1,,1,東,3,同,1,酮,馬酪一曰酢也又董韻
1,2b,1,東,3,同,1,挏,引也漢有挏馬官作酒又董韻
1,,1,東,3,同,1,氃,氋氃毛散貌
1,,1,東,3,同,1,詷,共也又董送二韻
1,,1,東,3,同,1,戙,系船[]又送韻
1,,1,東,3,同,1,艟,艨艟戰船又見下及漾韻
1,,1,東,3,同,1,彤,赤也丹飾也又姓
1,,1,東,3,同,1,㤏,恎防㤏遽
1,,1,東,3,同,1,𢥞,憂也
1,,1,東,3,同,1,鼕,鼔聲
1,,1,東,3,同,1,浵,汪浵水深
1,,1,東,4,龍,1,龍,盧容切鱗蟲之長爾雅馬高八尺為龍又通也和也詩何天之龍我龍受之毛如字鄭讀作寵左傳董父擾龍事舜賜氏曰豢龍劉累學擾龍事孔甲賜氏曰御龍句龍為后土氏曰句龍御音迓句音鈎又陽董二韻
1,,1,東,4,龍,1,𪚝,圭為龍文
1,,1,東,4,龍,1,籠,舉土器一曰養鳥籠又籦籠竹名又東籠與涷瀧同沾濕貌又董韻
1,,1,東,4,龍,1,櫳,養獸檻也牢也
1,,1,東,4,龍,1,㰍,房屋之疏通作櫳
1,,1,東,4,龍,1,䆍,穧也一曰禾病也
1,,1,東,4,龍,1,聾,耳病
1,,1,東,4,龍,1,嚨,喉也骯也
1,,1,東,4,龍,1,曨,日出貌又曈曨曰欲明貌又董韻
1,,1,東,4,龍,1,朧,月出又朣朧月欲明貌
1,,1,東,4,龍,1,襱,袴也
1,,1,東,4,龍,1,豅,大谷
1,,1,東,4,龍,1,瓏,玲瓏玉聲一曰明貌
1,,1,東,4,龍,1,礱,磨也又送韻
1,,1,東,4,龍,1,龐,充實也詩四牡龐龐又陽韻
1,,1,東,4,龍,1,蘢,蘢古草名又蒙蘢蔽覆貌漢鼂錯傳屮木蒙蘢又盧紅切
